dim,vcycle_converged_with_allocation,vcycle_time_with_allocation,vcycle_iterations_with_allocation,wcycle_converged_with_allocation,wcycle_time_with_allocation,wcycle_iterations_with_allocation,standard_converged_with_allocation,standard_time_with_allocation,standard_iterations_with_allocation,vcycle_converged_no_allocation,vcycle_time_no_allocation,vcycle_iterations_no_allocation,wcycle_converged_no_allocation,wcycle_time_no_allocation,wcycle_iterations_no_allocation,standard_converged_no_allocation,standard_time_no_allocation,standard_iterations_no_allocation,vcycle_wu,wcycle_wu,standard_wu
46,,,,,,,1,0.36574888229370117,1600,,,,,,,1,0.10003209114074707,1600,,,1601.0
60,,,,,,,1,0.43658018112182617,2800,,,,,,,1,0.15702342987060547,2800,,,2801.0
78,,,,,,,1,0.43109822273254395,4600,,,,,,,1,0.23745417594909668,4600,,,4601.0
101,,,,,,,1,0.6021203994750977,7800,,,,,,,1,0.38332414627075195,7800,,,7801.0
131,,,,,,,1,0.9106261730194092,13400,,,,,,,1,0.6436662673950195,13400,,,13401.0
170,,,,,,,1,1.708756923675537,22400,,,,,,,1,1.2500426769256592,22400,,,22401.0
221,,,,,,,1,3.5508594512939453,38000,,,,,,,1,3.0932090282440186,38000,,,38001.0
287,,,,,,,1,8.42315149307251,64200,,,,,,,1,7.762289047241211,64200,,,64201.0
373,,,,,,,1,23.791587114334106,108600,,,,,,,1,22.850138425827026,108600,,,108601.0
485,,,,,,,1,63.983652114868164,183600,,,,,,,1,62.50782632827759,183600,,,183601.0
630,,,,,,,1,179.69666981697083,310000,,,,,,,1,177.39209246635437,310000,,,310001.0
16,1,1.3866174221038818,16,1,1.932727575302124,15,,,,1,0.29791831970214844,16,1,0.557065486907959,15,,,,135.46875,180.0,
32,1,1.9234495162963867,23,1,2.630803108215332,17,,,,1,0.42574048042297363,23,1,0.9435200691223145,17,,,,191.8125,209.25,
64,1,2.4431800842285156,26,1,3.5105361938476562,14,,,,1,0.5911204814910889,26,1,1.4754233360290527,14,,,,215.947265625,177.1875,
128,1,2.9965991973876953,27,1,4.821873903274536,14,,,,1,0.7238965034484863,27,1,2.491194248199463,14,,,,223.986328125,178.59375,
256,1,3.9711241722106934,27,1,7.3034985065460205,13,,,,1,0.9074618816375732,27,1,3.9739842414855957,13,,,,223.99658203125,167.34375,
